idx,id_1,font_1,c_1,r_1,id_2,font_2,c_2,r_2
00000000.png,240,19,15,20,460,32,64,64
00000001.png,465,44,43,5,335,26,6,43
00000002.png,351,1,1,14,475,42,42,51
00000003.png,385,13,9,22,132,39,63,61
00000004.png,50,19,1,0,229,7,40,55
00000005.png,358,9,2,7,87,47,60,58
00000006.png,389,27,3,3,65,16,51,39
00000007.png,308,21,56,0,232,12,2,42
00000008.png,122,43,46,4,439,45,4,60
00000009.png,308,25,40,7,495,17,2,53
00000010.png,13,14,6,20,122,1,51,62
00000011.png,245,9,13,11,354,8,57,62
00000012.png,386,15,6,13,302,18,50,56
00000013.png,394,24,31,0,251,23,64,34
00000014.png,446,20,64,15,1,37,19,54
00000015.png,172,29,6,10,402,13,63,49
00000016.png,205,34,15,2,390,28,54,46
00000017.png,329,4,51,20,454,34,10,60
00000018.png,225,35,61,19,149,40,22,52
00000019.png,387,3,0,7,386,16,52,50
00000020.png,27,12,16,1,484,30,59,43
00000021.png,484,14,3,1,260,0,41,45
00000022.png,259,33,47,8,326,24,2,46
00000023.png,213,2,20,0,401,39,54,63
00000024.png,389,34,8,5,398,15,61,54
00000025.png,281,24,5,13,473,36,50,56
00000026.png,391,46,60,14,100,30,16,57
00000027.png,352,46,23,9,211,11,56,43
00000028.png,481,2,2,21,246,24,49,62
00000029.png,176,31,16,7,438,36,54,54
00000030.png,432,42,49,8,152,25,9,60
00000031.png,488,5,63,6,85,10,0,52
00000032.png,433,9,5,5,86,34,56,50
00000033.png,484,16,38,16,364,7,4,56
00000034.png,123,8,57,8,186,6,23,44
00000035.png,136,0,2,31,38,29,37,64
00000036.png,62,48,37,12,31,1,4,57
00000037.png,310,3,47,29,284,11,13,62
00000038.png,368,4,1,16,60,3,61,62
00000039.png,432,0,5,18,41,24,56,64
00000040.png,486,8,57,0,111,17,16,59
00000041.png,276,43,8,23,449,39,55,57
00000042.png,76,4,3,7,329,15,41,45
00000043.png,292,16,51,6,163,30,7,41
00000044.png,118,16,1,9,215,34,59,59
00000045.png,408,1,15,20,76,43,57,57
00000046.png,205,24,13,19,376,25,48,59
00000047.png,135,1,62,19,336,20,13,64
00000048.png,491,35,54,31,316,24,4,64
00000049.png,8,35,50,4,477,39,4,47
00000050.png,137,48,63,4,430,12,21,45
00000051.png,80,49,63,2,426,23,5,57
00000052.png,177,4,21,1,327,46,60,49
00000053.png,72,29,50,10,443,49,13,61
00000054.png,210,22,60,0,192,5,13,49
00000055.png,208,36,9,22,264,4,49,64
00000056.png,40,28,4,5,494,44,42,47
00000057.png,233,14,52,16,422,3,17,49
00000058.png,184,43,51,4,267,15,5,61
00000059.png,68,15,55,2,329,9,1,61
00000060.png,413,45,10,6,84,14,54,45
00000061.png,491,4,51,8,258,29,7,61
00000062.png,44,8,19,20,28,9,58,59
00000063.png,443,1,2,13,481,4,64,58
00000064.png,0,34,13,14,180,30,54,53
00000065.png,405,46,61,0,207,35,25,43
00000066.png,309,17,58,7,252,5,12,46
00000067.png,198,45,6,0,379,30,54,41
00000068.png,143,22,3,6,420,40,54,51
00000069.png,479,46,54,5,361,1,11,56
00000070.png,100,38,62,11,126,7,3,51
00000071.png,155,21,0,7,488,13,41,62
00000072.png,291,6,40,6,97,34,6,40
00000073.png,265,45,29,14,487,33,63,52
00000074.png,193,1,62,20,76,33,4,63
00000075.png,395,39,8,2,463,12,50,44
00000076.png,97,24,63,5,46,45,5,56
00000077.png,223,10,51,24,41,22,17,60
00000078.png,279,13,62,5,260,46,6,38
00000079.png,415,45,64,6,492,10,31,62
00000080.png,370,3,53,22,234,36,2,58
00000081.png,95,32,56,10,171,26,8,64
00000082.png,143,15,51,24,341,5,5,60
00000083.png,320,49,64,14,393,26,22,49
00000084.png,364,13,1,5,333,5,54,41
00000085.png,388,31,3,22,323,35,40,61
00000086.png,361,15,15,16,432,37,59,54
00000087.png,296,25,60,1,55,34,10,50
00000088.png,316,43,7,8,497,47,54,51
00000089.png,434,6,56,11,112,39,23,51
00000090.png,162,24,61,10,295,37,16,59
00000091.png,326,5,60,0,396,36,1,35
00000092.png,478,40,43,10,155,0,4,43
00000093.png,218,28,3,7,260,33,39,45
00000094.png,63,11,48,21,84,46,11,54
00000095.png,143,9,1,11,67,14,35,52
00000096.png,428,5,47,1,158,22,7,46
00000097.png,371,11,64,15,265,46,4,56
00000098.png,314,43,36,6,137,45,1,54
00000099.png,492,19,64,10,246,29,20,51
00000100.png,270,15,2,1,311,46,64,50
00000101.png,250,18,64,14,277,9,3,60
00000102.png,119,30,11,10,143,43,52,52
00000103.png,41,48,62,5,201,40,15,51
00000104.png,5,34,10,1,123,20,54,35
00000105.png,346,49,63,5,241,45,18,59
00000106.png,158,14,51,1,188,17,6,52
00000107.png,4,17,49,17,166,25,4,50
00000108.png,323,11,56,2,95,4,5,50
